,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
42,7.808279514312744,2.2836293059881854,0.10622258186340332,0.013896405229522742,0.0001,0.0001,0.1,"{'d_c': 0.0001, 'eps': 0.0001, 'l_r': 0.1}",-0.13729846161770373,-0.12973443614253788,-0.23938379396123657,-0.2473812616953327,-0.13910600378447363,-0.1785807914402569,0.05306404783806844,41
43,5.46022744178772,0.20926255370091676,0.10643115043640136,0.016429188290003924,0.0001,0.0001,0.5,"{'d_c': 0.0001, 'eps': 0.0001, 'l_r': 0.5}",-0.15369521869062783,-0.18845412368256828,-0.2851372058628692,-0.36876519436631977,-0.177661878795661,-0.23474272427960924,0.0805868250904321,57
44,8.020417737960816,2.1244877370162323,0.1230201244354248,0.019752065376937168,0.0001,0.1,0.01,"{'d_c': 0.0001, 'eps': 0.1, 'l_r': 0.01}",-0.10238180306858258,-0.13771241363124573,-0.23860178681441954,-0.2527411616138488,-0.10907931831821545,-0.16810329668926244,0.06459157190910333,22
45,7.621983003616333,1.5491762294836209,0.11977510452270508,0.03231494168365013,0.0001,0.1,0.05,"{'d_c': 0.0001, 'eps': 0.1, 'l_r': 0.05}",-0.09968780844136656,-0.1436757115600577,-0.267757870021519,-0.22688663177344962,-0.11957110078665002,-0.17151582451660857,0.0647472744219615,30
46,8.312796592712402,1.9123671350321831,0.11712217330932617,0.021866318078193343,0.0001,0.1,0.1,"{'d_c': 0.0001, 'eps': 0.1, 'l_r': 0.1}",-0.11114174444858654,-0.1296449362411919,-0.25855816481437727,-0.32763804367868316,-0.12835400711102388,-0.19106737925877254,0.08637168884213117,49
47,8.08996753692627,2.0758211419222548,0.10371646881103516,0.009058832365467116,0.0001,0.1,0.5,"{'d_c': 0.0001, 'eps': 0.1, 'l_r': 0.5}",-0.14274215395714313,-0.1558939470853755,-0.3078986985344773,-0.2826039771684197,-0.1540518077307146,-0.20863811689522604,0.07131269463705217,54
48,7.683508682250976,2.413263177931554,0.11663556098937988,0.03195542806529876,0,1e-07,0.01,"{'d_c': 0, 'eps': 1e-07, 'l_r': 0.01}",-0.0965590785765372,-0.12316522571577973,-0.2690258691378913,-0.23627723386311425,-0.16948194077944792,-0.17890186961455407,0.06540628636610582,42
49,6.356189346313476,2.1146695726602402,0.09487309455871581,0.00601094105612427,0,1e-07,0.05,"{'d_c': 0, 'eps': 1e-07, 'l_r': 0.05}",-0.11818592543275823,-0.16411333668908681,-0.28680727984080845,-0.25311487241087816,-0.11744984432747446,-0.18793425174020123,0.06989235394760052,47
50,8.743264627456664,2.2721673979526655,0.09802188873291015,0.008192307135785816,0,1e-07,0.1,"{'d_c': 0, 'eps': 1e-07, 'l_r': 0.1}",-0.10992770868440431,-0.142200500682844,-0.26076930195079256,-0.2445270210661375,-0.15659073399230558,-0.1828030532752968,0.05922001847489019,45
51,7.2429365634918215,1.6876339201076347,0.0890087604522705,0.015498505425325708,0,1e-07,0.5,"{'d_c': 0, 'eps': 1e-07, 'l_r': 0.5}",-0.22080061998710723,-0.2606241350997431,-0.3283782068120414,-0.30122633332461224,-0.27144230426159627,-0.2764943198970201,0.03655894978450293,59
52,7.685382604598999,2.3419928420075,0.09504265785217285,0.010918778631668787,0,0.0001,0.01,"{'d_c': 0, 'eps': 0.0001, 'l_r': 0.01}",-0.0903665300060555,-0.12008369323995903,-0.2375357195519772,-0.257191226504956,-0.11741426020781347,-0.16451828590215226,0.06871902895256839,11
53,9.761936712265015,1.7937794146146648,0.10274338722229004,0.0165624639589413,0,0.0001,0.05,"{'d_c': 0, 'eps': 0.0001, 'l_r': 0.05}",-0.10303227001806631,-0.12802390643460684,-0.2463552305483554,-0.25463575637434027,-0.1218699628038922,-0.17078342523585222,0.06565581997674064,29
54,5.717423772811889,0.2582882684305383,0.07601099014282227,0.0047271506940899264,0,0.0001,0.1,"{'d_c': 0, 'eps': 0.0001, 'l_r': 0.1}",-0.16310372926821315,-0.13461496804886033,-0.28045971013948956,-0.26270042973529645,-0.17967777220809203,-0.2041113218799903,0.05721909497066194,53
55,6.4678398132324215,2.0387207684481847,0.11903457641601563,0.018563270592977354,0,0.0001,0.5,"{'d_c': 0, 'eps': 0.0001, 'l_r': 0.5}",-0.2187507711700281,-0.2504059716599732,-0.39843630907063143,-0.2726271495974341,-0.2932628918096706,-0.2866966186615475,0.06109087258609655,60
56,7.370849704742431,1.6699120469001487,0.11098990440368653,0.012067936805928416,0,0.1,0.01,"{'d_c': 0, 'eps': 0.1, 'l_r': 0.01}",-0.08848354749705932,-0.13804430648289243,-0.2441223594865878,-0.23433461516379137,-0.11225089336572498,-0.1634471443992112,0.06390528146466222,7
57,8.273616075515747,1.9715460459597307,0.09347434043884277,0.0039034313725718893,0,0.1,0.05,"{'d_c': 0, 'eps': 0.1, 'l_r': 0.05}",-0.10865534657934908,-0.1351300681310296,-0.2588733040471772,-0.22165312753113198,-0.11652109772667073,-0.16816658880307173,0.06064449589720569,23
58,7.850196170806885,2.547496587509441,0.08273482322692871,0.0145093889117412,0,0.1,0.1,"{'d_c': 0, 'eps': 0.1, 'l_r': 0.1}",-0.10950562201814197,-0.12622979580238894,-0.2577804364658938,-0.2555555680504623,-0.12085811567691983,-0.1739859076027614,0.06772894254486309,36
59,4.490194272994995,0.3807969405705956,0.05772395133972168,0.005802149768723301,0,0.1,0.5,"{'d_c': 0, 'eps': 0.1, 'l_r': 0.5}",-0.10484386076975084,-0.1617875210898159,-0.24985575808167498,-0.255314695837843,-0.24729556810753903,-0.20381948077732476,0.060372386341393705,52
